iteration,pid,num_targets,target_w,target_d,target_id,timestamp,input
1,1,10,50,300,0,1782743289.569,latency
1,1,10,50,300,1,1782743291.3184,latency
1,1,10,50,300,2,1782743292.6833,latency
1,1,10,50,300,3,1782743294.6001,latency
1,1,10,50,300,4,1782743296.0884,latency
1,1,10,50,300,5,1782743298.3231,latency
1,1,10,50,300,6,1782743299.7522,latency
1,1,10,50,300,7,1782743301.1622,latency
1,1,10,50,300,8,1782743302.537,latency
1,1,10,50,300,9,1782743304.0895,latency
2,1,10,50,300,0,1782743305.0502,latency
2,1,10,50,300,1,1782743307.2461,latency
2,1,10,50,300,2,1782743308.7417,latency
2,1,10,50,300,3,1782743310.1732,latency
2,1,10,50,300,4,1782743311.4587,latency
2,1,10,50,300,5,1782743312.5879,latency
2,1,10,50,300,6,1782743314.0178,latency
2,1,10,50,300,7,1782743315.383,latency
2,1,10,50,300,8,1782743316.5452,latency
2,1,10,50,300,9,1782743317.7999,latency
0,1,10,40,400,0,1782743319.0527,latency
0,1,10,40,400,1,1782743320.8363,latency
0,1,10,40,400,2,1782743322.2718,latency
0,1,10,40,400,3,1782743323.4637,latency
0,1,10,40,400,4,1782743324.8135,latency
0,1,10,40,400,5,1782743326.6495,latency
0,1,10,40,400,6,1782743328.3619,latency
0,1,10,40,400,7,1782743329.8815,latency
0,1,10,40,400,8,1782743331.5065,latency
0,1,10,40,400,9,1782743333.122,latency
1,1,10,40,400,0,1782743333.9555,latency
1,1,10,40,400,1,1782743335.4704,latency
1,1,10,40,400,2,1782743337.1566,latency
1,1,10,40,400,3,1782743339.1175,latency
1,1,10,40,400,4,1782743340.3041,latency
1,1,10,40,400,5,1782743342.3173,latency
1,1,10,40,400,6,1782743344.0831,latency
1,1,10,40,400,7,1782743345.8849,latency
1,1,10,40,400,8,1782743347.3348,latency
1,1,10,40,400,9,1782743348.9935,latency
2,1,10,40,400,0,1782743350.1736,latency
2,1,10,40,400,1,1782743351.6859,latency
2,1,10,40,400,2,1782743353.3108,latency
2,1,10,40,400,3,1782743354.9247,latency
2,1,10,40,400,4,1782743357.0146,latency
2,1,10,40,400,5,1782743358.5606,latency
2,1,10,40,400,6,1782743359.5874,latency
2,1,10,40,400,7,1782743360.7222,latency
2,1,10,40,400,8,1782743361.7943,latency
2,1,10,40,400,9,1782743362.9279,latency
