iteration,pid,num_targets,target_w,target_d,target_id,timestamp,input
1,1,10,50,350,0,1782742298.6374,pose
1,1,10,50,350,1,1782742300.5144,pose
1,1,10,50,350,2,1782742301.7025,pose
1,1,10,50,350,3,1782742303.4037,pose
1,1,10,50,350,4,1782742305.0525,pose
1,1,10,50,350,5,1782742306.7375,pose
1,1,10,50,350,6,1782742308.3396,pose
1,1,10,50,350,7,1782742311.9338,pose
1,1,10,50,350,8,1782742314.4309,pose
1,1,10,50,350,9,1782742316.4794,pose
2,1,10,50,350,0,1782742319.7783,pose
2,1,10,50,350,1,1782742320.9913,pose
2,1,10,50,350,2,1782742322.5022,pose
2,1,10,50,350,3,1782742324.1864,pose
2,1,10,50,350,4,1782742325.8506,pose
2,1,10,50,350,5,1782742327.2037,pose
2,1,10,50,350,6,1782742328.3256,pose
2,1,10,50,350,7,1782742331.2189,pose
2,1,10,50,350,8,1782742333.0489,pose
2,1,10,50,350,9,1782742335.0614,pose
0,1,10,30,350,0,1782742336.2459,pose
0,1,10,30,350,1,1782742338.8544,pose
0,1,10,30,350,2,1782742342.0736,pose
0,1,10,30,350,3,1782742344.5942,pose
0,1,10,30,350,4,1782742347.7802,pose
0,1,10,30,350,5,1782742349.9195,pose
0,1,10,30,350,6,1782742351.428,pose
0,1,10,30,350,7,1782742352.8684,pose
0,1,10,30,350,8,1782742354.397,pose
0,1,10,30,350,9,1782742356.1649,pose
1,1,10,30,350,0,1782742357.2294,pose
1,1,10,30,350,1,1782742359.4136,pose
1,1,10,30,350,2,1782742361.4533,pose
1,1,10,30,350,3,1782742363.5123,pose
1,1,10,30,350,4,1782742365.5215,pose
1,1,10,30,350,5,1782742367.1648,pose
1,1,10,30,350,6,1782742368.7169,pose
1,1,10,30,350,7,1782742370.1771,pose
1,1,10,30,350,8,1782742371.6866,pose
1,1,10,30,350,9,1782742373.7414,pose
2,1,10,30,350,0,1782742375.2541,pose
2,1,10,30,350,1,1782742377.7717,pose
2,1,10,30,350,2,1782742380.7948,pose
2,1,10,30,350,3,1782742383.8116,pose
2,1,10,30,350,4,1782742385.3797,pose
2,1,10,30,350,5,1782742387.4787,pose
2,1,10,30,350,6,1782742395.4289,pose
2,1,10,30,350,7,1782742397.1498,pose
2,1,10,30,350,8,1782742400.6879,pose
2,1,10,30,350,9,1782742403.7101,pose
