iteration,pid,num_targets,target_w,target_d,target_id,timestamp,input
1,2,10,50,300,0,1782673564.4586,touchpad
1,2,10,50,300,1,1782673565.127,touchpad
1,2,10,50,300,2,1782673566.3766,touchpad
1,2,10,50,300,3,1782673567.1112,touchpad
1,2,10,50,300,4,1782673567.7293,touchpad
1,2,10,50,300,5,1782673568.4147,touchpad
1,2,10,50,300,6,1782673569.0246,touchpad
1,2,10,50,300,7,1782673569.613,touchpad
1,2,10,50,300,8,1782673570.6427,touchpad
1,2,10,50,300,9,1782673571.4057,touchpad
2,2,10,50,300,0,1782673571.9551,touchpad
2,2,10,50,300,1,1782673572.5877,touchpad
2,2,10,50,300,2,1782673573.1405,touchpad
2,2,10,50,300,3,1782673573.7167,touchpad
2,2,10,50,300,4,1782673574.9049,touchpad
2,2,10,50,300,5,1782673575.4963,touchpad
2,2,10,50,300,6,1782673576.0236,touchpad
2,2,10,50,300,7,1782673577.2973,touchpad
2,2,10,50,300,8,1782673578.4937,touchpad
2,2,10,50,300,9,1782673579.2322,touchpad
